layer,agg_area_R,agg_area_P,agg_area_F1,mean_per_grid_F1,f1_pg_CI95_lo,f1_pg_CI95_hi,bulk_AoverB,agg_signed_rel,std_ratio,std_ratio_CI95_lo,std_ratio_CI95_hi,std_ratio_Bw,cv_ratio_Bw,std_logratio,rmse_m2,rmse_CI95_lo,rmse_CI95_hi,mae_m2,ols_slope,ols_intercept,ols_R2,thru0_slope,thru0_R2,mean_ratio,median_ratio,iqr_ratio,cv_ratio,sum_abs_eps_m2,bias_m2
V3-C+SAM,0.8171,0.824,0.8206,0.7924,0.7482,0.8365,0.9916,-0.0084,0.2279,0.1186,0.3077,0.1688,0.1702,0.2262,1063.4,689.7,1389.5,744.9,0.9052,528.71,0.9458,0.9614,0.9402,1.0622,1.0325,0.1916,0.2146,18622.8,-51.3
train20_val5_hn per-det+SAM,0.9197,0.7177,0.8062,0.7488,0.679,0.8,1.2814,0.2814,0.7534,0.2658,1.1291,0.3177,0.2479,0.3529,2202.7,1595.3,2750.7,1777.6,1.135,895.95,0.9447,1.2302,0.9345,1.5427,1.2705,0.4178,0.4884,44438.8,1721.9
