tree_root,grid_id,grid_dir,region,has_config,model_version,imagery_source,config_tiles_dir,model_path,result_count,gpkg_row_count,created_at_utc,target_region,target_run,route_reason
/home/gaosh/projects/ZAsolar/results_joburg,G1544,/home/gaosh/projects/ZAsolar/results_joburg/G1544,johannesburg,True,exp004_v4_hn,aerial,/dev/shm/tiles_joburg/G1544,/workspace/checkpoints/exp004_v4_hn/best_model.pth,24.0,24.0,2026-04-05T06:51:02.668186+00:00,johannesburg,v4_aerial_2023,V4 on JHB aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1545,/home/gaosh/projects/ZAsolar/results_joburg/G1545,johannesburg,True,exp004_v4_hn,aerial,/dev/shm/tiles_joburg/G1545,/workspace/checkpoints/exp004_v4_hn/best_model.pth,6.0,6.0,2026-04-05T06:50:59.928320+00:00,johannesburg,v4_aerial_2023,V4 on JHB aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1570,/home/gaosh/projects/ZAsolar/results_joburg/G1570,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/workspace/tiles/G1570,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,143.0,143.0,2026-03-29T04:32:14.769577+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1571,/home/gaosh/projects/ZAsolar/results_joburg/G1571,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/workspace/tiles/G1571,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,35.0,35.0,2026-03-29T04:32:23.648554+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1572,/home/gaosh/projects/ZAsolar/results_joburg/G1572,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/workspace/tiles/G1572,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,151.0,151.0,2026-03-29T04:33:34.017200+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1573,/home/gaosh/projects/ZAsolar/results_joburg/G1573,johannesburg,True,exp004_v4_hn,aerial,/dev/shm/tiles_joburg/G1573,/workspace/checkpoints/exp004_v4_hn/best_model.pth,24.0,24.0,2026-04-05T06:51:02.688633+00:00,johannesburg,v4_aerial_2023,V4 on JHB aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1574,/home/gaosh/projects/ZAsolar/results_joburg/G1574,johannesburg,True,exp004_v4_hn,aerial,/dev/shm/tiles_joburg/G1574,/workspace/checkpoints/exp004_v4_hn/best_model.pth,5.0,5.0,2026-04-05T06:50:51.342179+00:00,johannesburg,v4_aerial_2023,V4 on JHB aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1600,/home/gaosh/projects/ZAsolar/results_joburg/G1600,johannesburg,True,exp004_v4_hn,aerial,/dev/shm/tiles_joburg/G1600,/workspace/checkpoints/exp004_v4_hn/best_model.pth,37.0,37.0,2026-04-05T06:51:01.226167+00:00,johannesburg,v4_aerial_2023,V4 on JHB aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1601,/home/gaosh/projects/ZAsolar/results_joburg/G1601,johannesburg,True,exp004_v4_hn,aerial,/dev/shm/tiles_joburg/G1601,/workspace/checkpoints/exp004_v4_hn/best_model.pth,43.0,43.0,2026-04-05T06:51:05.627967+00:00,johannesburg,v4_aerial_2023,V4 on JHB aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1602,/home/gaosh/projects/ZAsolar/results_joburg/G1602,johannesburg,True,exp004_v4_hn,aerial,/dev/shm/tiles_joburg/G1602,/workspace/checkpoints/exp004_v4_hn/best_model.pth,75.0,75.0,2026-04-05T06:51:06.717029+00:00,johannesburg,v4_aerial_2023,V4 on JHB aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1603,/home/gaosh/projects/ZAsolar/results_joburg/G1603,johannesburg,True,exp004_v4_hn,aerial,/dev/shm/tiles_joburg/G1603,/workspace/checkpoints/exp004_v4_hn/best_model.pth,46.0,46.0,2026-04-05T06:50:57.190344+00:00,johannesburg,v4_aerial_2023,V4 on JHB aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1604,/home/gaosh/projects/ZAsolar/results_joburg/G1604,johannesburg,True,exp004_v4_hn,aerial,/dev/shm/tiles_joburg/G1604,/workspace/checkpoints/exp004_v4_hn/best_model.pth,2.0,2.0,2026-04-05T06:50:41.473459+00:00,johannesburg,v4_aerial_2023,V4 on JHB aerial
