label,slope,intercept,r2,rmse,n
"kW ~ area, intercept (both>0)",0.039997335097306165,-4.634115747607034,0.6434015493283495,41.1591767767308,55
"kW ~ area, thru-0 (both>0)",0.03839129442564668,0.0,0.6404938608221324,41.326641178424254,55
log kW ~ log area (both>0),0.6019985823211866,-0.9576625717377976,0.35414457148076495,0.8328058650528998,55
"kW ~ area, intercept (truth>0)",0.039997335097306165,-4.634115747607034,0.6434015493283495,41.1591767767308,55
residential-only hexagons,0.011630283835231885,11.248749602971097,0.19617248698011502,15.799806248887466,42
commercial-only hexagons,0.046974574706686686,-23.068389889899578,0.8790873826780705,45.6087059068165,9
mixed (resi+commercial),0.011903424925830691,110.01096711019096,0.02662665846113299,85.52670599861726,4
