h3,lat,lng,kw_total,kw_residential,kw_commercial,n_install,n_residential,n_commercial,area_m2,n_poly
89ad368c12bffff,-34.0765134415816,18.430804349005665,0.0,0.0,0.0,0,0,0,87.70520620882053,4
89ad368eda3ffff,-34.13502994122269,18.383706594662513,0.0,0.0,0.0,0,0,0,768.2935344804066,31
89ad3685837ffff,-34.14219642511573,18.339025664412638,0.0,0.0,0.0,0,0,0,46.421436140398725,1
89ad368f26fffff,-34.08527678598129,18.54025003576745,0.0,0.0,0.0,0,0,0,270.9203437350686,18
89ad368c393ffff,-34.07708228335741,18.455498347082706,12.73,12.73,0.0,3,3,0,510.8431496598817,31
89ad368c06bffff,-34.07573434416241,18.465186273018087,0.0,0.0,0.0,0,0,0,52.63437976622816,2
89ad368edb3ffff,-34.137811327854706,18.385273727022664,0.0,0.0,0.0,0,0,0,592.8712975113476,30
89ad3688923ffff,-34.076050827064854,18.548985064194518,24.0,24.0,0.0,1,1,0,55.644505771625695,4
89ad368cc6bffff,-34.06902916428036,18.412664857902353,50.0,50.0,0.0,1,1,0,320.2947195156497,11
89ad368c39bffff,-34.07477774457785,18.457682040522158,0.0,0.0,0.0,0,0,0,326.58669896937124,19
89ad368cc7bffff,-34.07181253430805,18.41423212609202,0.0,0.0,0.0,0,0,0,526.6225861345606,15
89ad368c0b3ffff,-34.09282146765433,18.457404325798265,0.0,0.0,0.0,0,0,0,376.9287395885736,9
89ad368ec17ffff,-34.13657172865231,18.415905788742098,0.0,0.0,0.0,0,0,0,927.4941729194966,42
89ad36bb65bffff,-34.08831566480171,18.381759436687325,0.0,0.0,0.0,0,0,0,78.26972536294076,1
89ad368c3d7ffff,-34.07247306921465,18.459865707958304,55.4,0.0,55.4,1,0,1,866.2620457713768,15
89ad3685adbffff,-34.131767558979384,18.378388205623242,0.0,0.0,0.0,0,0,0,43.52227509281515,3
89ad368ed17ffff,-34.133209933207155,18.38964244928348,0.0,0.0,0.0,0,0,0,732.046597482333,41
89ad36bb657ffff,-34.09013708044088,18.375825167575744,0.0,0.0,0.0,0,0,0,20.663688360943237,1
89ad368c3bbffff,-34.07103758708064,18.44861007350441,15.0,15.0,0.0,3,3,0,779.3192147550265,33
89ad368c66bffff,-34.079079071713046,18.49145416013299,0.0,0.0,0.0,0,0,0,31.57313288938584,4
89ad368c42bffff,-34.099342774852595,18.468046699864335,0.0,0.0,0.0,0,0,0,67.88377185742847,6
89ad368c6c3ffff,-34.092991400838805,18.499300714182937,0.0,0.0,0.0,0,0,0,10.454725782699128,1
89ad368c177ffff,-34.076992582916816,18.434555817577607,9.2,0.0,9.2,2,0,2,3068.782998791509,22
89ad3685e63ffff,-34.139149904756366,18.375586438598482,0.0,0.0,0.0,0,0,0,119.68754859533746,2
89ad368c013ffff,-34.08869159841176,18.465524475105852,0.0,0.0,0.0,0,0,0,247.9129008530142,7
89ad368c02bffff,-34.07986518518607,18.45706668290277,0.0,0.0,0.0,0,0,0,175.83422308439222,13
89ad368c613ffff,-34.092036638853564,18.49179420095821,0.0,0.0,0.0,0,0,0,2185.448820956467,13
89ad368c10bffff,-34.080254590858694,18.439875321239832,16.3,16.3,0.0,2,2,0,3952.4019988760324,34
89ad3685ac3ffff,-34.13128655368516,18.374636987710826,0.0,0.0,0.0,0,0,0,114.88673049273831,4
89ad368d4b7ffff,-34.08289519277179,18.521480446949578,0.0,0.0,0.0,0,0,0,8.358061261573601,1
89ad368edabffff,-34.13272924875155,18.385890936437857,0.0,0.0,0.0,0,0,0,707.555528011182,32
89ad368892fffff,-34.07326825752334,18.547414615443774,0.0,0.0,0.0,0,0,0,234.6568714514269,13
89ad368edd3ffff,-34.13743265985486,18.402465109094305,0.0,0.0,0.0,0,0,0,10.162262812395705,1
89ad3685ad3ffff,-34.134068104983,18.376203876804993,0.0,0.0,0.0,0,0,0,133.8857976312534,6
89ad368c657ffff,-34.087426761230496,18.496161914084848,0.0,0.0,0.0,0,0,0,71.77206661281716,9
89ad368cccbffff,-34.080641563328065,18.422685548046413,28.9,28.900000000000002,0.0,4,4,0,492.71690990009847,19
89ad368d5afffff,-34.07446826737657,18.495821576734524,0.0,0.0,0.0,0,0,0,16.783732481714768,3
89ad368c107ffff,-34.082079426446015,18.433939916400572,62.44,62.44,0.0,7,7,0,1660.4998235302046,51
89ad368c15bffff,-34.078908078930816,18.44956267009889,34.8,34.8,0.0,4,4,0,806.9397938849357,40
89ad368c403ffff,-34.10538501259748,18.47493736036721,0.0,0.0,0.0,0,0,0,594.2513072727874,12
89ad368c04bffff,-34.07947334568035,18.474259630159576,0.0,0.0,0.0,0,0,0,71.68856136337062,4
89ad36bb673ffff,-34.08687317732366,18.37050840139307,0.0,0.0,0.0,0,0,0,169.11254850513996,3
89ad368c29bffff,-34.07812397047806,18.483948562021958,0.0,0.0,0.0,0,0,0,49.66769183565734,4
89ad368c40bffff,-34.10308103490207,18.477121380576577,0.0,0.0,0.0,0,0,0,102.03471793144047,6
89ad368eb27ffff,-34.09109856475742,18.383326139698426,0.0,0.0,0.0,0,0,0,513.2427144767079,12
89ad368eb87ffff,-34.10270964092029,18.39334454782499,0.0,0.0,0.0,0,0,0,1420.513056056571,62
89ad368c167ffff,-34.0742094784814,18.432988031498137,0.0,0.0,0.0,0,0,0,730.0027303070389,6
89ad368c6abffff,-34.09108144841428,18.484288077440493,0.0,0.0,0.0,0,0,0,838.8938521915868,24
89ad368c6a7ffff,-34.09290820695457,18.478351283994158,0.0,0.0,0.0,0,0,0,194.71243228930555,12
89ad368c0bbffff,-34.090517455763504,18.459588199606774,0.0,0.0,0.0,0,0,0,464.4989764401277,22
89ad368edbbffff,-34.13551069891055,18.38745810105829,0.0,0.0,0.0,0,0,0,608.3033886131407,31
89ad3685807ffff,-34.14316049053511,18.346526937796884,0.0,0.0,0.0,0,0,0,11.636182742743909,1
89ad368c0dbffff,-34.09012582960965,18.476782343857124,8.0,8.0,0.0,1,1,0,533.3808312029219,27
89ad368c063ffff,-34.078039029292576,18.463002567439684,0.0,0.0,0.0,0,0,0,38.82489693508275,3
89ad368cccfffff,-34.080162061804444,18.418934287783873,0.0,0.0,0.0,0,0,0,162.53123514376549,2
89ad368c477ffff,-34.09982093051735,18.471799493902704,0.0,0.0,0.0,0,0,0,35.19707736459866,3
89ad368d5b7ffff,-34.07955646172374,18.495207105326923,0.0,0.0,0.0,0,0,0,43.81246050991709,4
89ad368c137ffff,-34.0811209579503,18.426436906255603,0.0,0.0,0.0,0,0,0,88.87505715372689,3
89ad368ed83ffff,-34.13877266877607,18.392777021741814,0.0,0.0,0.0,0,0,0,463.7777495623881,26
89ad368c04fffff,-34.07899534723457,18.470507178332856,3.64,3.64,0.0,1,1,0,121.0897322951198,7
89ad368c46bffff,-34.0952125847538,18.476167380025668,0.0,0.0,0.0,0,0,0,800.1351081714803,40
89ad368c2d7ffff,-34.07581878292078,18.48613227153011,0.0,0.0,0.0,0,0,0,19.28179240451004,1
89ad36bb6cbffff,-34.09340071249879,18.38114227525021,0.0,0.0,0.0,0,0,0,6.20814739369973,1
89ad368c68bffff,-34.0948188805103,18.49336350723497,0.0,0.0,0.0,0,0,0,3822.363969105323,19
89ad368c027ffff,-34.081690951140324,18.451130882217484,13.0,13.0,0.0,2,2,0,475.21424282006126,23
89ad368c053ffff,-34.084560782992206,18.473644642092264,10.0,10.0,0.0,2,2,0,1031.174109082339,51
89ad368c6afffff,-34.090603692552094,18.480535161892835,0.0,0.0,0.0,0,0,0,116.27455069361936,4
89ad36859c7ffff,-34.14353099830548,18.329340362113264,0.0,0.0,0.0,0,0,0,40.98381945161958,3
89ad368c1cfffff,-34.0835163271509,18.44519516550949,5.0,5.0,0.0,1,1,0,277.282292664911,10
89ad368ce83ffff,-34.07094706812751,18.427669019672354,5.0,5.0,0.0,1,1,0,60.4939324778819,5
89ad368c3c3ffff,-34.070168257274155,18.4620493493853,0.0,0.0,0.0,0,0,0,2895.207216988494,13
89ad368ec1bffff,-34.1347500687851,18.42184246005833,0.0,0.0,0.0,0,0,0,571.788369318403,32
89ad368d537ffff,-34.07168538278029,18.4942523803757,0.0,0.0,0.0,0,0,0,18.915254598965557,1
89ad368ec8bffff,-34.139832703132534,18.42122607753443,0.0,0.0,0.0,0,0,0,549.3638858388113,26
89ad36858c3ffff,-34.147386990735455,18.359346190672273,0.0,0.0,0.0,0,0,0,234.03879814490085,23
89ad368c423ffff,-34.101646669618574,18.46586272374926,0.0,0.0,0.0,0,0,0,272.1075187654755,20
89ad368c677ffff,-34.083689329788676,18.48708663911106,0.0,0.0,0.0,0,0,0,5.454145506062247,1
89ad368580fffff,-34.14086099465519,18.34871136242787,0.0,0.0,0.0,0,0,0,204.81480322648463,8
89ad368580bffff,-34.14134279379377,18.352462153667812,0.0,0.0,0.0,0,0,0,1603.5222807188425,40
89ad368c2d3ffff,-34.07629631390386,18.48988502779698,0.0,0.0,0.0,0,0,0,80.50152698891819,8
89ad368ec07ffff,-34.133790451394006,18.414337949347928,0.0,0.0,0.0,0,0,0,678.5883896314301,28
89ad368c3d3ffff,-34.0729513493262,18.46361778145238,0.0,0.0,0.0,0,0,0,2322.9690714806543,9
89ad368eb37ffff,-34.09388136762887,18.38489290225491,0.0,0.0,0.0,0,0,0,89.9552391148769,2
