gridcell_id,region_key,primary_source,fallback_source,imagery_plan,lon,lat,n_buildings,vexcel_fraction,status,source_used,downloaded_at,error
NMB1232,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.449066410505573,-33.84002304149809,1077,1.0,pending,,,
NMB1233,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.45987087939418,-33.840158506810845,98,1.0,pending,,,
NMB1234,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.470675420227344,-33.84029302580718,2,1.0,pending,,,
NMB1235,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.481480032501185,-33.84042659846619,0,1.0,pending,,,
NMB1236,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.492284715711786,-33.84055922476711,457,1.0,pending,,,
NMB1237,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.503089469355203,-33.840690904689346,2435,1.0,pending,,,
NMB1238,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.51389429292749,-33.84082163821243,1343,1.0,pending,,,
NMB1239,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.524699185924664,-33.840951425316035,684,1.0,pending,,,
NMB1240,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.535504147842733,-33.84108026598001,1562,1.0,pending,,,
NMB1241,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.54630917817768,-33.84120816018432,611,1.0,pending,,,
NMB1242,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.557114276425473,-33.84133510790911,187,1.0,pending,,,
NMB1243,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.56791944208205,-33.84146110913461,269,1.0,pending,,,
NMB1244,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.57872467464334,-33.841586163841285,44,1.0,pending,,,
NMB1245,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.589529973605245,-33.84171027200967,0,1.0,pending,,,
NMB1246,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.60033533846366,-33.84183343362047,145,1.0,pending,,,
NMB1247,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.611140768714442,-33.8419556486546,33,1.0,pending,,,
