gridcell_id,region_key,primary_source,fallback_source,imagery_plan,lon,lat,n_buildings,vexcel_fraction,status,source_used,downloaded_at,error
BCM2070,east_london,vexcel_east_london_2026,,vexcel_full,27.840821388028278,-33.05320992920745,149,1.0,pending,,,
BCM2071,east_london,vexcel_east_london_2026,,vexcel_full,27.851531469118207,-33.05313727304014,401,1.0,pending,,,
BCM2072,east_london,vexcel_east_london_2026,,vexcel_full,27.862086883984155,-33.052892918715116,32,1.0,pending,,,
BCM2073,east_london,vexcel_east_london_2026,,vexcel_full,27.871790364511863,-33.05142230086062,44,1.0,pending,,,
BCM2107,east_london,vexcel_east_london_2026,,vexcel_partial,27.798062068076536,-33.06251077618729,96,0.3229,pending,,,
BCM2108,east_london,vexcel_east_london_2026,,vexcel_partial,27.80877339111686,-33.06244177410374,67,0.9818,pending,,,
BCM2109,east_london,vexcel_east_london_2026,,vexcel_full,27.81948467738182,-33.06237185226275,34,1.0,pending,,,
BCM2110,east_london,vexcel_east_london_2026,,vexcel_full,27.8301959263846,-33.06230101067509,248,1.0,pending,,,
BCM2111,east_london,vexcel_east_london_2026,,vexcel_full,27.84090713763838,-33.06222924935162,211,1.0,pending,,,
BCM2112,east_london,vexcel_east_london_2026,,vexcel_full,27.850948418149844,-33.06154686074459,140,1.0,pending,,,
BCM2113,east_london,vexcel_east_london_2026,,vexcel_full,27.859863973083872,-33.059363151622456,5,1.0,pending,,,
BCM2148,east_london,vexcel_east_london_2026,,vexcel_partial,27.808855901623687,-33.0714611537559,44,0.7299,pending,,,
BCM2149,east_london,vexcel_east_london_2026,,vexcel_full,27.819568280350566,-33.07139120797365,14,1.0,pending,,,
BCM2150,east_london,vexcel_east_london_2026,,vexcel_full,27.829934272282404,-33.07088218651761,358,1.0,pending,,,
BCM2151,east_london,vexcel_east_london_2026,,vexcel_full,27.84016700973884,-33.06883893495522,17,1.0,pending,,,
BCM2187,east_london,vexcel_east_london_2026,,vexcel_partial,27.81957215885382,-33.080376233728856,3,0.8738,pending,,,
BCM2223,east_london,vexcel_east_london_2026,,vexcel_partial,27.819557071813605,-33.085649186345236,0,0.1991,pending,,,
